import time: self [us] | cumulative | imported package
import time:        77 |         77 |                 mmap
import time:       333 |        333 |                 rich.filesize
import time:      1080 |       1080 |                     rich.ansi
import time:       582 |       1662 |                   rich.file_proxy
import time:       325 |        325 |                   rich.live_render
import time:       823 |       2809 |                 rich.live
import time:       449 |        449 |                 rich.progress_bar
import time:       329 |        329 |                   rich._spinners
import time:       696 |       1025 |                 rich.spinner
import time:      4817 |       9507 |               rich.progress
import time:       282 |        282 |                   pygments.filter
import time:       431 |        431 |                     pygments.token
import time:       855 |       1286 |                   pygments.filters
import time:       340 |        340 |                   pygments.regexopt
import time:      1327 |       3234 |                 pygments.lexer
import time:       392 |        392 |                 pygments.style
import time:       539 |        539 |                   pygments.styles._mapping
import time:       520 |       1058 |                 pygments.styles
import time:      2250 |       6934 |               rich.syntax
import time:       927 |     122263 |             httpx._main
import time:      1381 |     186454 |           httpx
import time:       445 |        445 |             postgrest._async
import time:       419 |        419 |               packaging
import time:       268 |        268 |                 packaging._structures
import time:      2425 |       2692 |               packaging.version
import time:      1180 |       4291 |             deprecation
import time:       688 |        688 |                   multidict._abc
import time:       790 |        790 |                     multidict._multidict
import time:       492 |       1281 |                   multidict._compat
import time:       900 |       2868 |                 multidict
import time:       727 |        727 |                     yarl._quoting_c
import time:       270 |        997 |                   yarl._quoting
import time:       488 |       1485 |                 yarl._quoters
import time:       724 |       5077 |               yarl._query
import time:       502 |        502 |                   propcache
import time:       623 |        623 |                     propcache._helpers_c
import time:       259 |        882 |                   propcache._helpers
import time:       562 |       1945 |                 propcache.api
import time:       337 |        337 |                 yarl._parse
import time:       240 |        240 |                 yarl._path
import time:      1580 |       4100 |               yarl._url
import time:      1149 |      10325 |             yarl
import time:       778 |        778 |                         pydantic_core._pydantic_core
import time:      3200 |       3200 |                           typing_extensions
import time:       372 |        372 |                                   concurrent
import time:      1042 |       1042 |                                   concurrent.futures._base
import time:       778 |       2192 |                                 concurrent.futures
import time:        43 |         43 |                                   _heapq
import time:       410 |        453 |                                 heapq
import time:       916 |        916 |                                   signal
import time:       330 |        330 |                                   fcntl
import time:       971 |       2217 |                                 subprocess
import time:       369 |        369 |                                 asyncio.constants
import time:       341 |        341 |                                 asyncio.coroutines
import time:       321 |        321 |                                   asyncio.format_helpers
import time:       347 |        347 |                                     asyncio.base_futures
import time:       346 |        346 |                                     asyncio.exceptions
import time:       302 |        302 |                                     asyncio.base_tasks
import time:      1250 |       2245 |                                   _asyncio
import time:       901 |       3466 |                                 asyncio.events
import time:       467 |        467 |                                 asyncio.futures
import time:       324 |        324 |                                 asyncio.protocols
import time:       407 |        407 |                                   asyncio.transports
import time:       382 |        382 |                                   asyncio.log
import time:       915 |       1703 |                                 asyncio.sslproto
import time:       261 |        261 |                                     asyncio.mixins
import time:       644 |        644 |                                     asyncio.tasks
import time:       681 |       1584 |                                   asyncio.locks
import time:       510 |       2094 |                                 asyncio.staggered
import time:       322 |        322 |                                 asyncio.trsock
import time:      2796 |      16738 |                               asyncio.base_events
import time:       398 |        398 |                               asyncio.runners
import time:       427 |        427 |                               asyncio.queues
import time:       778 |        778 |                               asyncio.streams
import time:       336 |        336 |                               asyncio.subprocess
import time:       281 |        281 |                               asyncio.taskgroups
import time:       388 |        388 |                               asyncio.timeouts
import time:       244 |        244 |                               asyncio.threads
import time:      1603 |       1603 |                                 _overlapped
import time:       503 |        503 |                                 asyncio.base_subprocess
import time:       633 |        633 |                                 asyncio.proactor_events
import time:       628 |        628 |                                 asyncio.selector_events
import time:       348 |        348 |                                 asyncio.windows_utils
import time:       792 |       4506 |                               asyncio.windows_events
import time:      4024 |      28117 |                             asyncio
import time:        33 |      28149 |                           asyncio.coroutines
import time:     21784 |      53132 |                         pydantic_core.core_schema
import time:      2270 |      56179 |                       pydantic_core
import time:       299 |      56477 |                     pydantic.version
import time:       785 |      57261 |                   pydantic._migration
import time:       520 |        520 |                       typing_inspection
import time:      9525 |       9525 |                       typing_inspection.typing_objects
import time:      1533 |      11576 |                     typing_inspection.introspection
import time:       338 |        338 |                     pydantic._internal
import time:       833 |        833 |                         pydantic._internal._namespace_utils
import time:       773 |       1605 |                       pydantic._internal._typing_extra
import time:       698 |       2303 |                     pydantic._internal._repr
import time:      1038 |      15254 |                   pydantic.errors
import time:       793 |      73308 |                 pydantic
import time:       922 |        922 |                       sysconfig
import time:      1061 |       1983 |                     zoneinfo._tzpath
import time:       337 |        337 |                     zoneinfo._common
import time:       812 |        812 |                     _zoneinfo
import time:       791 |       3922 |                   zoneinfo
import time:       280 |        280 |                   pydantic._internal._import_utils
import time:       662 |       4863 |                 pydantic._internal._validators
import time:       225 |        225 |                     pydantic._internal._internal_dataclass
import time:      4021 |       4245 |                   pydantic.aliases
import time:      2774 |       2774 |                   pydantic.config
import time:      1141 |       8159 |                 pydantic._internal._config
import time:       821 |        821 |                   pydantic._internal._core_utils
import time:      2812 |       2812 |                   pydantic._internal._utils
import time:     13637 |      17269 |                 pydantic._internal._decorators
import time:      1548 |       1548 |                     pydantic._internal._forward_ref
import time:       870 |       2418 |                   pydantic._internal._generics
import time:       324 |        324 |                   pydantic._internal._docs_extraction
import time:      1236 |       3978 |                 pydantic._internal._fields
import time:      1002 |       1002 |                     pydantic.plugin
import time:       676 |       1677 |                   pydantic.plugin._schema_validator
import time:       622 |       2299 |                 pydantic._internal._mock_val_ser
import time:      1167 |       1167 |                       _uuid
import time:       687 |       1853 |                     uuid
import time:       436 |        436 |                     pydantic.annotated_handlers
import time:      7951 |       7951 |                     pydantic.functional_validators
import time:       802 |        802 |                       pydantic._internal._core_metadata
import time:       407 |        407 |                       pydantic._internal._schema_generation_shared
import time:      3727 |       4935 |                     pydantic.json_schema
import time:       613 |        613 |                     pydantic._internal._discriminated_union
import time:       451 |        451 |                     pydantic._internal._known_annotated_metadata
import time:      2190 |       2190 |                     pydantic._internal._schema_gather
import time:      4788 |      23215 |                   pydantic._internal._generate_schema
import time:       351 |        351 |                   pydantic._internal._signature
import time:      1951 |      25516 |                 pydantic._internal._model_construction
import time:       285 |        285 |                 postgrest.version
import time:      3402 |     139074 |               postgrest.utils
import time:       571 |     139644 |             postgrest.base_client
import time:       243 |        243 |             postgrest.constants
import time:       351 |        351 |               pydantic._internal._serializers
import time:       284 |        284 |               pydantic.plugin._loader
import time:     27457 |      28091 |             postgrest.types
import time:     27694 |      27694 |                   annotated_types
import time:     16430 |      16430 |                   pydantic.types
import time:      5996 |      50120 |                 pydantic.fields
import time:      3774 |      53893 |               postgrest.base_request_builder
